team,player_number,position,birth_date,shirt_name,club_name,height,weight,league,age,name,caps
Belgium,9,FW,5/13/1993,R. LUKAKU,Manchester United FC,190,94,ENG,25.08767123,Romelu Lukaku,69
Belgium,10,FW,1/7/1991,E. HAZARD,Chelsea FC,173,74,ENG,27.43287671,Eden Hazard,86
Belgium,11,MF,9/4/1993,CARRASCO,Dalian Yifang FC,180,67,CHN,24.77534247,Yannick Carrasco,26
Belgium,12,GK,3/6/1988,MIGNOLET,Liverpool FC,193,87,ENG,30.2739726,Simon Mignolet,21
Belgium,13,GK,6/25/1992,CASTEELS,VfL Wolfsburg,197,86,GER,25.96986301,Koen Casteels,0
Belgium,14,FW,5/6/1987,MERTENS,SSC Napoli,169,61,ITA,31.10684932,Dries Mertens,69
Belgium,15,DF,9/12/1991,MEUNIER,Paris Saint-Germain FC,190,88,FRA,26.75342466,Thomas Meunier,25
Belgium,16,MF,3/29/1993,T. HAZARD,VfL Borussia Mönchengladbach,174,70,GER,25.2109589,Thorgan Hazard,11
Belgium,17,MF,5/7/1997,TIELEMANS,AS Monaco,176,72,FRA,21.10410959,Youri Tielemans,9
Belgium,18,FW,2/5/1995,JANUZAJ,Real Sociedad,180,75,ESP,23.35342466,Adnan Januzaj,8
Belgium,19,MF,7/16/1987,DEMBELE,Tottenham Hotspur FC,185,82,ENG,30.91232877,Mousa Dembélé,76
Belgium,20,DF,11/28/1990,BOYATA,Celtic FC,188,84,SCO,27.54246575,Dedryck Boyata,7
Belgium,21,FW,10/2/1993,BATSHUAYI,Borussia Dortmund,185,78,GER,24.69863014,Michy Batshuayi,16
Belgium,22,MF,8/2/1989,CHADLI,West Bromwich Albion FC,187,85,ENG,28.86575342,Nacer Chadli,45
Belgium,23,DF,4/15/1995,DENDONCKER,RSC Anderlecht,188,76,BEL,23.16438356,Leander Dendoncker,5
Brazil,1,GK,10/2/1992,A. BECKER,AS Roma,193,91,ITA,25.69863014,Alisson,26
Brazil,2,DF,9/22/1984,T. SILVA,Paris Saint-Germain FC,183,79,FRA,33.7260274,Thiago Silva,71
Brazil,3,DF,9/7/1984,MIRANDA,FC Internazionale,186,78,ITA,33.76712329,Miranda,47
Brazil,4,DF,9/21/1985,GEROMEL,Grêmio FBPA,190,84,BRA,32.72876712,Pedro Geromel,2
Brazil,5,MF,2/23/1992,CASEMIRO,Real Madrid CF,185,84,ESP,26.30410959,Casemiro,24
Brazil,6,DF,8/9/1985,FILIPE LUIS,Atletico Madrid,182,73,ESP,32.84657534,Filipe Luís,33
Brazil,7,FW,9/14/1990,D. COSTA,Juventus FC,182,70,ITA,27.74794521,Douglas Costa,25
Brazil,8,MF,2/8/1988,R. AUGUSTO,Beijing Guoan,186,86,CHN,30.34520548,Renato Augusto,28
Brazil,9,FW,4/3/1997,G. JESUS,Manchester City FC,175,73,ENG,21.19726027,Gabriel Jesus,17
Brazil,10,FW,2/5/1992,NEYMAR JR,Paris Saint-Germain FC,175,68,FRA,26.35342466,Neymar,85
Brazil,11,MF,6/12/1992,P. COUTINHO,FC Barcelona,172,68,ESP,26.00547945,Philippe Coutinho,37
Brazil,12,DF,5/12/1988,MARCELO,Real Madrid CF,174,80,ESP,30.09041096,Marcelo,54
Brazil,13,DF,5/14/1994,MARQUINHOS,Paris Saint-Germain FC,183,75,FRA,24.08493151,Marquinhos,26
Brazil,14,DF,7/15/1991,DANILO,Manchester City FC,184,78,ENG,26.91506849,Danilo,18
Brazil,15,MF,7/25/1988,PAULINHO,FC Barcelona,181,81,ESP,29.88767123,Paulinho,50
Brazil,16,GK,6/6/1987,CASSIO,SC Corinthians,195,92,BRA,31.02191781,Cássio,1
Brazil,17,MF,5/4/1985,FERNANDINHO,Manchester City FC,179,67,ENG,33.11232877,Fernandinho,44
Brazil,18,MF,3/5/1993,FRED,FC Shakhtar Donetsk,169,64,UKR,25.27671233,Fred,8
Brazil,19,MF,8/9/1988,WILLIAN,Chelsea FC,175,77,ENG,29.84657534,Willian,57
Brazil,20,FW,10/2/1991,FIRMINO,Liverpool FC,181,76,ENG,26.69863014,Roberto Firmino,21
Brazil,21,FW,1/13/1988,TAISON,FC Shakhtar Donetsk,172,64,UKR,30.41643836,Taison,8
Brazil,22,DF,6/11/1989,FAGNER,SC Corinthians,168,67,BRA,29.00821918,Fagner,4
Brazil,23,GK,8/17/1993,EDERSON,Manchester City FC,188,86,ENG,24.82465753,Ederson,1
Colombia,1,GK,8/31/1988,OSPINA,Arsenal FC,183,80,ENG,29.78630137,David Ospina,86
Colombia,2,DF,9/30/1986,C. ZAPATA,AC Milan,187,82,ITA,31.70410959,Cristián Zapata,55
